player_id,first_name,last_name,team_abbrev,pos_1,pos_2,round_x,points,played,avg,avg3,avg5,price,median_score,id,league_id,user_team_id,round,pick,position,autopicked,time,DEF_norm_score_x,MID_norm_score_x,RUC_norm_score_x,FWD_norm_score_x,DEF_norm_score_y,MID_norm_score_y,RUC_norm_score_y,FWD_norm_score_y,DEF_norm_score,MID_norm_score,RUC_norm_score,FWD_norm_score,final_score
255,Hayden,Young,FRE,DEF,MID,24,94,23,101.348,93,104.2,538500,99.25,1705947,1283,717,5,36,DEF,0,8/03/2024 13:23,0.521,-0.264,,,0.521,-0.264,,,0.521,-0.264,,,0.521
639,Jack,Sinclair,STK,DEF,MID,24,111,22,109.909,106.667,112.2,594700,101.7085,1705949,1283,713,5,37,DEF,0,8/03/2024 13:23,0.773,-0.04,,,0.773,-0.04,,,0.773,-0.04,,,0.773
598,Jayden,Short,RIC,DEF,,24,115,22,82.0909,103,96.6,465800,78.3065,1705950,1283,716,5,38,DEF,0,8/03/2024 13:23,,,,,,,,,,,,,
273,Sam,Flanders,GCS,MID,FWD,24,161,22,119.045,124.667,121.2,594200,118.285,1705954,1283,720,5,40,FWD,0,8/03/2024 13:23,,1.472,,3.752,,1.472,,3.752,,1.472,,3.752,3.752
27,Reilly,O'Brien,ADE,RUC,,24,92,21,93.2857,90.6667,102.6,521600,88.7333,1705956,1283,714,6,41,RUC,0,8/03/2024 13:23,,,,,,,,,,,,,
257,Noah,Anderson,GCS,MID,,24,128,23,106.696,115.333,104.8,526400,108.846,1705958,1283,718,6,43,MID,0,8/03/2024 13:24,,0.611,,,,0.611,,,,0.611,,,0.611
690,Chad,Warner,SYD,MID,,24,114,22,103.864,119,96.8,505000,104.51650000000001,1705959,1283,717,6,44,MID,0,8/03/2024 13:24,,0.216,,,,0.216,,,,0.216,,,0.216
372,Josh,Kelly,GWS,MID,,24,85,15,99.9333,88.3333,89.8,492700,102.833,1705961,1283,713,6,45,MID,0,8/03/2024 13:24,,0.063,,,,0.063,,,,0.063,,,0.063
590,Toby,Nankervis,RIC,RUC,,24,106,21,110.238,97.3333,100,556700,109.846,1705962,1283,716,6,46,RUC,0,8/03/2024 13:24,,,-0.128,,,,-0.128,,,,-0.128,,-0.128
703,Caleb,Daniel,WBD,MID,FWD,24,107,15,49.9333,80.3333,54.8,252800,49.9333,1705963,1283,715,6,47,FWD,0,8/03/2024 13:24,,,,,,,,,,,,,
518,Tristan,Xerri,NTH,RUC,,24,123,23,119.87,149.667,148.8,730000,109.5,1705965,1283,720,6,48,RUC,0,8/03/2024 13:24,,,-0.173,,,,-0.173,,,,-0.173,,-0.173
120,Nic,Newman,CAR,DEF,,24,132,23,101.478,114,114,553000,98,1705967,1283,714,7,49,DEF,0,8/03/2024 13:24,0.394,,,,0.394,,,,0.394,,,,0.394
601,Tim,Taranto,RIC,MID,,24,105,15,94.5333,83,80.8,450300,96.0769,1705970,1283,718,7,51,MID,0,8/03/2024 13:25,,-0.554,,,,-0.554,,,,-0.554,,,-0.554
566,Shai,Bolton,RIC,MID,FWD,24,49,22,77.2273,60,60.2,341400,82.41765,1705972,1283,713,7,53,FWD,0,8/03/2024 13:25,,,,0.039,,,,0.039,,,,0.039,0.039
474,Jack,Viney,MEL,MID,,24,34,23,88,87.3333,80.6,424300,93.7143,1705973,1283,716,7,54,MID,0,8/03/2024 13:25,,-0.769,,,,-0.769,,,,-0.769,,,-0.769
67,Hugh,McCluggage,BRL,MID,,24,95,23,98.087,91.3333,96,490900,98.6667,1705974,1283,715,7,55,MID,0,8/03/2024 13:25,,-0.317,,,,-0.317,,,,-0.317,,,-0.317
418,Jai,Newcombe,HAW,MID,,24,140,23,98.3043,131,119.6,564600,90.6667,1705975,1283,720,7,56,MID,0,8/03/2024 13:26,,-1.047,,,,-1.047,,,,-1.047,,,-1.047
671,Jake,Lloyd,SYD,DEF,MID,24,79,23,82.4783,82.3333,83.8,427800,82.4783,1705976,1283,714,8,57,DEF,0,8/03/2024 13:26,-1.191,,,,-1.191,,,,-1.191,,,,-1.191
293,Matt,Rowell,GCS,MID,,24,113,23,102.13,98,102.6,482400,116.5,1705977,1283,719,8,58,MID,0,8/03/2024 13:26,,1.31,,,,1.31,,,,1.31,,,1.31
389,Lachie,Whitfield,GWS,DEF,,24,153,23,111,118.667,128.2,624300,106.222,1705979,1283,717,8,60,DEF,0,8/03/2024 13:26,1.233,,,,1.233,,,,1.233,,,,1.233
363,Toby,Greene,GWS,FWD,,24,76,22,79.1364,60,77.6,395300,76.58335,1705980,1283,713,8,61,FWD,0,8/03/2024 13:26,,,,-0.565,,,,-0.565,,,,-0.565,-0.565
289,Wil,Powell,GCS,DEF,,24,70,18,88.5556,69.6667,76.8,428700,92.875,1705981,1283,716,8,62,DEF,0,8/03/2024 13:26,-0.13,,,,-0.13,,,,-0.13,,,,-0.13
702,Bailey,Dale,WBD,DEF,,24,126,23,98,82.6667,90.6,464000,96.7273,1705982,1283,715,8,63,DEF,0,8/03/2024 13:27,0.264,,,,0.264,,,,0.264,,,,0.264
7,Matt,Crouch,ADE,MID,,24,86,15,105.533,98.3333,96.6,524600,108,1705984,1283,720,8,64,MID,0,8/03/2024 13:27,,0.534,,,,0.534,,,,0.534,,,0.534
355,Stephen,Coniglio,GWS,MID,,24,31,13,79.3846,55,64,360100,95.7143,1705985,1283,714,9,65,MID,0,8/03/2024 13:27,,-0.587,,,,-0.587,,,,-0.587,,,-0.587
97,Patrick,Cripps,CAR,MID,,24,106,23,110.478,111.333,109,574200,109.273,1705986,1283,719,9,66,MID,0,8/03/2024 13:27,,0.65,,,,0.65,,,,0.65,,,0.65
730,Adam,Treloar,WBD,MID,,24,84,22,116.591,102.667,120.6,620400,115.0395,1705987,1283,718,9,67,MID,0,8/03/2024 13:27,,1.176,,,,1.176,,,,1.176,,,1.176
762,Tim,Kelly,WCE,MID,,24,87,20,95.45,87.6667,99,496100,94.85835,1705989,1283,717,9,68,MID,0,8/03/2024 13:27,,-0.665,,,,-0.665,,,,-0.665,,,-0.665
193,Nic,Martin,ESS,DEF,MID,24,97,23,105.043,120.667,112.2,576400,103.824,1705995,1283,713,9,69,MID,0,8/03/2024 13:28,0.989,0.153,,,0.989,0.153,,,0.989,0.153,,,0.989
667,James,Jordon,SYD,MID,FWD,24,60,23,67.8696,64.6667,52.4,300200,75.0833,1705996,1283,716,9,70,FWD,0,8/03/2024 13:28,,,,-0.72,,,,-0.72,,,,-0.72,-0.72
133,Darcy,Cameron,COL,RUC,,24,92,23,105.13,133.667,124.2,639600,97.9412,1705997,1283,715,9,71,RUC,0,8/03/2024 13:28,,,,,,,,,,,,,
649,Taylor,Adams,SYD,MID,FWD,24,83,19,68.6842,51.3333,57.4,291500,73.3333,1705998,1283,720,9,72,FWD,0,8/03/2024 13:28,,,,,,,,,,,,,
295,Alex,Sexton,GCS,DEF,FWD,24,69,15,74.6,59.6667,59.4,343100,78,1705999,1283,714,10,73,FWD,0,8/03/2024 13:28,,,,-0.418,,,,-0.418,,,,-0.418,-0.418
560,Ollie,Wines,PTA,MID,,24,116,22,99.3636,110.667,115.8,548500,96.725,1706000,1283,719,10,74,MID,0,8/03/2024 13:28,,-0.495,,,,-0.495,,,,-0.495,,,-0.495
137,Josh,Daicos,COL,MID,,24,140,23,89.5652,113,104,487800,87.2727,1706001,1283,718,10,75,MID,0,8/03/2024 13:28,,-1.357,,,,-1.357,,,,-1.357,,,-1.357
415,Dylan,Moore,HAW,FWD,,24,107,23,97.7391,114.333,106.4,536400,94.3077,1706002,1283,717,10,76,FWD,0,8/03/2024 13:28,,,,1.27,,,,1.27,,,,1.27,1.27
652,Nick,Blakey,SYD,DEF,,24,127,23,97.4783,102.333,94.6,477500,99.2,1706013,1283,716,10,78,DEF,0,8/03/2024 13:29,0.516,,,,0.516,,,,0.516,,,,0.516
307,Jeremy,Cameron,GEE,FWD,,24,143,22,86.5,96.3333,99.4,449000,86.04375,1706016,1283,720,10,80,FWD,0,8/03/2024 13:29,,,,0.414,,,,0.414,,,,0.414,0.414
645,Callum,Wilkie,STK,DEF,,24,58,23,91.7391,111,101.4,532300,84.9,1706028,1283,718,11,83,DEF,0,8/03/2024 13:30,-0.944,,,,-0.944,,,,-0.944,,,,-0.944
463,Christian,Salem,MEL,DEF,MID,24,104,17,80,99.3333,79,423700,78.5,1706033,1283,717,11,84,DEF,0,8/03/2024 13:30,,,,,,,,,,,,,
194,Andrew,McGrath,ESS,DEF,,24,129,23,95.3913,111,99.6,491100,99.1667,1706034,1283,713,11,85,DEF,0,8/03/2024 13:30,0.513,,,,0.513,,,,0.513,,,,0.513
106,George,Hewett,CAR,MID,,24,122,21,92.1429,102.667,110.2,504700,90.65,1706037,1283,716,11,86,MID,0,8/03/2024 13:30,,-1.049,,,,-1.049,,,,-1.049,,,-1.049
643,Nasiah,Wanganeen-Milera,STK,DEF,,24,105,22,100.909,96.3333,103.2,512900,101.535,1706038,1283,715,11,87,DEF,0,8/03/2024 13:30,0.755,,,,0.755,,,,0.755,,,,0.755
779,Elliot,Yeo,WCE,DEF,MID,24,77,20,104.8,94.3333,101.2,525300,106.1315,1706040,1283,720,11,88,DEF,0,8/03/2024 13:30,1.224,0.364,,,1.224,0.364,,,1.224,0.364,,,1.224
68,Oscar,McInerney,BRL,RUC,,24,99,22,96,97.6667,101.2,507700,92.4,1706041,1283,714,12,89,RUC,0,8/03/2024 13:31,,,,,,,,,,,,,
160,Darcy,Moore,COL,DEF,,24,40,23,74.8261,63.6667,79.6,395900,76.1429,1706044,1283,718,12,91,DEF,0,8/03/2024 13:31,,,,,,,,,,,,,
390,Karl,Amon,HAW,DEF,MID,24,75,23,91.6522,98.3333,100.2,505100,89.8235,1706049,1283,717,12,92,MID,0,8/03/2024 13:31,-0.441,-1.124,,,-0.441,-1.124,,,-0.441,-1.124,,,-0.441
562,Liam,Baker,RIC,DEF,FWD,24,88,18,82.3333,90,85,429400,82.125,1706055,1283,713,12,93,FWD,0,8/03/2024 13:31,-1.228,,,0.009,-1.228,,,0.009,-1.228,,,0.009,0.009
304,Mark,Blicavs,GEE,RUC,MID,24,97,22,68.1818,79.6667,75.2,373700,66.96725,1706059,1283,715,12,95,RUC,0,8/03/2024 13:31,,,,,,,,,,,,,
173,Jye,Caldwell,ESS,MID,FWD,24,53,23,93.9565,70,82.6,465600,91.2143,1706060,1283,720,12,96,FWD,0,8/03/2024 13:31,,-0.997,,0.95,,-0.997,,0.95,,-0.997,,0.95,0.95
228,Nat,Fyfe,FRE,MID,FWD,24,74,22,69.1818,59,58,304400,76.4077,1706063,1283,719,13,98,FWD,0,8/03/2024 13:32,,,,-0.583,,,,-0.583,,,,-0.583,-0.583
124,Adam,Saad,CAR,DEF,,24,114,17,86.8824,95.6667,93.6,470700,83,1706064,1283,718,13,99,DEF,0,8/03/2024 13:32,-1.138,,,,-1.138,,,,-1.138,,,,-1.138
325,Max,Holmes,GEE,DEF,MID,24,121,23,99.087,99.3333,89.4,466600,99.375,1706065,1283,717,13,100,MID,0,8/03/2024 13:32,0.534,-0.253,,,0.534,-0.253,,,0.534,-0.253,,,0.534
686,James,Rowbottom,SYD,MID,,24,109,21,94.5238,84.6667,79.4,438400,95.3684,1706066,1283,713,13,101,MID,0,8/03/2024 13:32,,-0.618,,,,-0.618,,,,-0.618,,,-0.618
648,Mason,Wood,STK,FWD,MID,24,76,18,80.1111,77.6667,67.8,375300,82.05,1706079,1283,716,13,102,MID,0,8/03/2024 13:32,,,,0.001,,,,0.001,,,,0.001,0.001
86,Dayne,Zorko,BRL,MID,FWD,24,108,23,110.435,111,113.4,574700,109.444,1706080,1283,715,13,103,FWD,0,8/03/2024 13:32,,0.666,,2.836,,0.666,,2.836,,0.666,,2.836,2.836
581,Jacob,Hopper,RIC,MID,,24,89,12,80.8333,79.6667,71.4,394400,84.875,1706082,1283,720,13,104,MID,0,8/03/2024 13:33,,-1.576,,,,-1.576,,,,-1.576,,,-1.576
488,Zac,Fisher,NTH,DEF,FWD,24,73,18,85,71,80.8,426800,80.32220000000001,1706083,1283,714,14,105,FWD,0,8/03/2024 13:33,,,,-0.178,,,,-0.178,,,,-0.178,-0.178
367,Harry,Himmelberg,GWS,DEF,,24,101,23,91.2609,94.3333,93.8,479800,89.6364,1706084,1283,719,14,106,DEF,0,8/03/2024 13:33,-0.46,,,,-0.46,,,,-0.46,,,,-0.46
47,Zac,Bailey,BRL,MID,FWD,24,74,18,70.5,64.3333,74.6,361400,71.49164999999999,1706087,1283,717,14,108,FWD,0,8/03/2024 13:33,,,,,,,,,,,,,
315,Mitch,Duncan,GEE,DEF,,24,40,20,78.55,36,52.6,338800,80.68945,1706098,1283,716,14,110,DEF,0,8/03/2024 13:34,,,,,,,,,,,,,
200,Mason,Redman,ESS,DEF,,24,93,21,88.2857,100.333,95.6,482500,86.5714,1706099,1283,715,14,111,DEF,0,8/03/2024 13:34,-0.773,,,,-0.773,,,,-0.773,,,,-0.773
16,Mitchell,Hinge,ADE,DEF,,24,59,22,93.4545,72.3333,73.8,432800,96.72810000000001,1706101,1283,720,14,112,DEF,0,8/03/2024 13:34,0.264,,,,0.264,,,,0.264,,,,0.264
603,Nick,Vlastuin,RIC,DEF,,24,111,22,91.3182,95.6667,95.2,454700,95.63635,1706102,1283,714,15,113,DEF,0,8/03/2024 13:34,0.152,,,,0.152,,,,0.152,,,,0.152
218,Jordan,Clark,FRE,DEF,,24,83,23,104.609,93.6667,99.6,539500,105.591,1706103,1283,719,15,114,DEF,0,8/03/2024 13:34,1.169,,,,1.169,,,,1.169,,,,1.169
633,Mitch,Owens,STK,FWD,,24,50,23,63.8261,63,68.4,338900,66.2143,1706104,1283,718,15,115,FWD,0,8/03/2024 13:34,,,,,,,,,,,,,
749,Liam,Duggan,WCE,DEF,,24,42,21,86.0952,57.3333,58,370100,93.2,1706113,1283,717,15,116,DEF,0,8/03/2024 13:34,-0.096,,,,-0.096,,,,-0.096,,,,-0.096
151,Patrick,Lipinski,COL,FWD,MID,24,131,23,75.6522,88,62.6,322900,79.2778,1706117,1283,713,15,117,FWD,0,8/03/2024 13:35,,,,-0.286,,,,-0.286,,,,-0.286,-0.286
432,James,Worpel,HAW,MID,,24,61,23,87.3043,87,76,431400,89.4737,1706119,1283,716,15,118,MID,0,8/03/2024 13:35,,-1.156,,,,-1.156,,,,-1.156,,,-1.156
136,Jack,Crisp,COL,DEF,MID,24,70,23,87.1739,85,80,434500,87.1739,1706120,1283,715,15,119,MID,0,8/03/2024 13:35,-0.712,-1.366,,,-0.712,-1.366,,,-0.712,-1.366,,,-0.712
302,Tom,Atkins,GEE,DEF,MID,24,95,20,80.1,76.3333,73,388400,79.9,1706123,1283,720,15,120,MID,0,8/03/2024 13:35,,,,,,,,,,,,,
462,Trent,Rivers,MEL,DEF,,24,83,23,85.913,73.6667,80.2,431500,81.1667,1706125,1283,719,16,122,DEF,0,8/03/2024 13:35,,,,,,,,,,,,,
536,Jason,Horne-Francis,PTA,MID,,24,94,21,99.6667,109,109.8,537000,102.538,1706129,1283,718,16,123,MID,0,8/03/2024 13:36,,0.036,,,,0.036,,,,0.036,,,0.036
41,Taylor,Walker,ADE,FWD,,24,36,18,64.4444,46.3333,46.8,285600,68.64935,1706136,1283,717,16,124,FWD,0,8/03/2024 13:36,,,,,,,,,,,,,
44,Harris,Andrews,BRL,DEF,,24,82,22,83.4091,67.3333,78,386300,93.16665,1706138,1283,713,16,125,DEF,0,8/03/2024 13:36,-0.1,,,,-0.1,,,,-0.1,,,,-0.1
163,Scott,Pendlebury,COL,MID,,24,102,20,86.45,77,91,439900,85.7801,1706139,1283,716,16,126,MID,0,8/03/2024 13:36,,-1.493,,,,-1.493,,,,-1.493,,,-1.493
409,Connor,Macdonald,HAW,FWD,,24,111,23,74.3478,95.6667,88.8,426400,68.0588,1706140,1283,715,16,127,FWD,0,8/03/2024 13:36,,,,,,,,,,,,,
725,Ed,Richards,WBD,DEF,MID,24,107,20,98.55,104.333,98.8,514300,95.1627,1706153,1283,720,16,128,DEF,0,8/03/2024 13:37,0.104,-0.637,,,0.104,-0.637,,,0.104,-0.637,,,0.104
220,Brennan,Cox,FRE,DEF,,24,65,9,65.1111,71.3333,72.8,381900,59.3333,1706156,1283,714,17,129,DEF,0,8/03/2024 13:37,,,,,,,,,,,,,
384,Sam,Taylor,GWS,DEF,,24,91,16,71.3125,81,65.2,339300,75.83335,1706165,1283,718,17,131,DEF,0,8/03/2024 13:37,,,,,,,,,,,,,
410,Cam,Mackenzie,HAW,FWD,MID,24,97,20,60.85,72,62,296600,61.324799999999996,1706166,1283,717,17,132,FWD,0,8/03/2024 13:38,,,,,,,,,,,,,
312,Patrick,Dangerfield,GEE,MID,,24,100,14,84.2857,93.3333,85.4,434500,84.57140000000001,1706168,1283,713,17,133,MID,0,8/03/2024 13:38,,,,,,,,,,,,,
331,Gryan,Miers,GEE,FWD,,24,80,23,81.913,81.3333,75.4,382300,86.2667,1706169,1283,716,17,134,FWD,0,8/03/2024 13:38,,,,0.437,,,,0.437,,,,0.437,0.437
770,Harley,Reid,WCE,MID,FWD,24,78,20,80.55,74.3333,74.2,377300,82.5,1706170,1283,715,17,135,FWD,0,8/03/2024 13:38,,,,0.048,,,,0.048,,,,0.048,0.048
594,Daniel,Rioli,RIC,DEF,,24,107,23,92.8696,111,97.2,516400,89.2353,1706171,1283,720,17,136,DEF,0,8/03/2024 13:38,-0.501,,,,-0.501,,,,-0.501,,,,-0.501
635,Mattaes,Phillipou,STK,FWD,,24,80,13,58.2308,88.6667,79.2,364100,53.8182,1706174,1283,714,18,137,FWD,0,8/03/2024 13:38,,,,,,,,,,,,,
190,Kyle,Langford,ESS,FWD,,24,105,23,78.3478,87.3333,73.2,399800,77.7692,1706186,1283,718,18,139,FWD,0,8/03/2024 13:38,,,,-0.442,,,,-0.442,,,,-0.442,-0.442
677,Hayden,McLean,SYD,RUC,FWD,24,82,23,68.4348,65.6667,62.2,334100,68.2381,1706187,1283,717,18,140,FWD,0,8/03/2024 13:39,,,,,,,,,,,,,
164,Isaac,Quaynor,COL,DEF,,24,53,23,58.5217,72.3333,57.4,302300,58.9231,1706188,1283,713,18,141,DEF,0,8/03/2024 13:39,,,,,,,,,,,,,
181,Jade,Gresham,ESS,FWD,,24,48,22,59.0909,44.6667,51,265500,63.26665,1706197,1283,720,18,144,FWD,0,8/03/2024 13:40,,,,,,,,,,,,,
682,Luke,Parker,SYD,MID,,24,102,7,70.8571,93,74,412900,64.6667,1706202,1283,719,19,146,MID,0,8/03/2024 13:40,,,,,,,,,,,,,
525,Ryan,Burton,PTA,DEF,,24,81,13,71.9231,59,59.4,328900,77.5556,1706204,1283,717,19,148,DEF,0,8/03/2024 13:40,,,,,,,,,,,,,
75,Cam,Rayner,BRL,FWD,MID,24,72,23,78.4348,67.3333,82.4,429400,74.7059,1706205,1283,713,19,149,FWD,0,8/03/2024 13:40,,,,-0.759,,,,-0.759,,,,-0.759,-0.759
19,Ben,Keays,ADE,FWD,,24,97,23,81.0435,94,92.8,510500,67.0909,1706206,1283,716,19,150,FWD,0,8/03/2024 13:40,,,,,,,,,,,,,
354,Finn,Callaghan,GWS,MID,,24,90,22,81.9545,96,92.8,463900,77.4533,1706208,1283,720,19,152,MID,0,8/03/2024 13:40,,,,,,,,,,,,,
177,Sam,Draper,ESS,FWD,RUC,24,60,16,75.9375,80.6667,88,456600,63.67855,1706211,1283,714,20,153,RUC,0,8/03/2024 13:40,,,,,,,,,,,,,
507,Tom,Powell,NTH,FWD,MID,24,48,23,80.1739,83,91,445100,84.0833,1706215,1283,719,20,154,FWD,0,8/03/2024 13:41,,,,0.212,,,,0.212,,,,0.212,0.212
461,Kysaiah,Pickett,MEL,FWD,,24,111,21,73.381,85,76.4,387500,72.25,1706226,1283,713,20,157,FWD,0,8/03/2024 13:41,,,,,,,,,,,,,
369,Connor,Idun,GWS,DEF,,24,77,23,85,81.3333,82.6,451500,82.9333,1706227,1283,716,20,158,DEF,0,8/03/2024 13:41,-1.145,,,,-1.145,,,,-1.145,,,,-1.145
423,Jack,Scrimshaw,HAW,DEF,,24,68,22,82,86.6667,81.6,432300,81.83930000000001,1706230,1283,720,20,160,DEF,0,8/03/2024 13:41,,,,,,,,,,,,,
52,Joe,Daniher,BRL,FWD,,24,66,23,83.913,72,72.8,390000,85,1706231,1283,714,21,161,FWD,0,8/03/2024 13:42,,,,0.306,,,,0.306,,,,0.306,0.306
434,Jack,Billings,MEL,FWD,MID,24,85,16,57.625,79,62,299100,58.833349999999996,1706232,1283,719,21,162,FWD,0,8/03/2024 13:42,,,,,,,,,,,,,
533,Kane,Farrell,PTA,DEF,,24,50,22,82.5909,62.3333,74,418400,82.64545000000001,1706244,1283,713,21,165,DEF,0,8/03/2024 13:42,-1.174,,,,-1.174,,,,-1.174,,,,-1.174
517,George,Wardlaw,NTH,MID,,24,100,18,85.6111,83.3333,74.8,430500,83.62119999999999,1706246,1283,715,21,167,MID,0,8/03/2024 13:42,,,,,,,,,,,,,
511,Jy,Simpkin,NTH,FWD,MID,24,114,18,79.6667,94.3333,91.6,444600,71.8,1706247,1283,720,21,168,MID,0,8/03/2024 13:42,,,,,,,,,,,,,
368,Jesse,Hogan,GWS,FWD,,24,78,23,92.3913,105.333,111.2,557600,90.5,1706248,1283,714,22,169,FWD,0,8/03/2024 13:43,,,,0.876,,,,0.876,,,,0.876,0.876
