,Name,Type,#,DOB,Age,Height,Weight,Gm,SOO,Recruited from,team,short_team
31,Daniel Rich,Def-Med-Gen,10,"7 Jun, 1990",29 y 264 d,183 cm,87 kg,205,WA,Subiaco,brisbanelions,Brisbane
32,Deven Robertson,Mid-Med,2,"30 Jun, 2001",18 y 241 d,182 cm,80 kg,,WA,Perth,brisbanelions,Brisbane
33,Mitch Robinson,Mid-Med,5,"7 Jun, 1989",30 y 264 d,184 cm,90 kg,190,TAS,Lauderdale,brisbanelions,Brisbane
34,Brock Smith,Def-Med-Gen,1,"13 Mar, 2001",18 y 350 d,188 cm,81 kg,,VIC,Gippsland Power,brisbanelions,Brisbane
35,Ely Smith,Mid-Med,8,"13 Sep, 2000",19 y 166 d,187 cm,86 kg,,VIC,Murray Bushrangers,brisbanelions,Brisbane
36,Brandon Starcevich,Mid-Med,37,"24 Jul, 1999",20 y 217 d,188 cm,88 kg,5,WA,East Perth,brisbanelions,Brisbane
37,Alex Witherden,Def-Med-Gen,29,"10 Sep, 1998",21 y 169 d,188 cm,85 kg,51,VIC,Geelong Falcons,brisbanelions,Brisbane
38,Toby Wooller,Fwd-Tall-Key,34,"16 Mar, 1999",20 y 347 d,195 cm,88 kg,,VIC,Oakleigh Chargers,brisbanelions,Brisbane
39,Dayne Zorko,Mid-Smal,15,"9 Feb, 1989",31 y 17 d,175 cm,78 kg,166,QLD,Broadbeach,brisbanelions,Brisbane
40, Jacob Allison,Util-Tall,19,"16 Apr, 1998",21 y 316 d,195 cm,87 kg,10,QLD,Brisbane Academy,brisbanelions,Brisbane
41, Tom Fullarton,Ruck-Tall,47,"23 Feb, 1999",21 y 3 d,199 cm,92 kg,,QLD,Brisbane Bullets,brisbanelions,Brisbane
42, Corey Lyons,Mid-Med,39,"31 May, 1998",21 y 271 d,184 cm,83 kg,,VIC,Sandringham Dragons,brisbanelions,Brisbane
43, James Madden,Mid-Med,42,"15 Nov, 1999",20 y 103 d,186 cm,85 kg,,N/A,Dublin,brisbanelions,Brisbane
44, Sam Skinner,Util-Tall,21,"29 Jun, 1997",22 y 242 d,198 cm,100 kg,1,VIC,Gippsland Power,brisbanelions,Brisbane
45, Archie Smith,Ruck-Tall,44,"19 Jul, 1995",24 y 222 d,203 cm,104 kg,11,QLD,Mt Gravatt,brisbanelions,Brisbane
0,Eddie Betts,Fwd-Smal-Gen,19,"26 Nov, 1986",33 y 92 d,174 cm,74 kg,316,VIC,Calder Cannons,carltonblues,Carlton
1,Levi Casboult,Fwd-Tall-Key,41,"15 Mar, 1990",29 y 348 d,201 cm,101 kg,124,VIC,Dandenong Stingrays,carltonblues,Carlton
2,Matthew Cottrell,Mid-Med,46,"29 Feb, 2000",19 y 362 d,181 cm,72 kg,,VIC,Dandenong Stingrays,carltonblues,Carlton
3,Patrick Cripps,Mid-Med,9,"18 Mar, 1995",24 y 345 d,195 cm,92 kg,101,WA,East Fremantle,carltonblues,Carlton
4,David Cuningham,Mid-Med,28,"30 Mar, 1997",22 y 333 d,185 cm,85 kg,25,VIC,Oakleigh Chargers,carltonblues,Carlton
5,Charlie Curnow,Fwd-Tall-Key,30,"3 Feb, 1997",23 y 23 d,192 cm,96 kg,58,VIC,Geelong Falcons,carltonblues,Carlton
6,Ed Curnow,Mid-Med,35,"7 Nov, 1989",30 y 111 d,180 cm,85 kg,165,VIC,Geelong Falcons,carltonblues,Carlton
7,Tom De Koning,Util-Tall,12,"16 Jul, 1999",20 y 225 d,203 cm,97 kg,2,VIC,Dandenong Stingrays,carltonblues,Carlton
8,Sam Docherty,Def-Med-Gen,15,"17 Oct, 1993",26 y 132 d,187 cm,87 kg,92,VIC,Gippsland Power,carltonblues,Carlton
9,Paddy Dow,Mid-Med,2,"16 Oct, 1999",20 y 133 d,187 cm,83 kg,39,VIC,Bendigo Pioneers,carltonblues,Carlton
10,Zac Fisher,Mid-Smal,25,"15 Jun, 1998",21 y 256 d,177 cm,75 kg,55,WA,Perth,carltonblues,Carlton
11,Michael Gibbons,Mid-Smal,40,"15 May, 1995",24 y 287 d,175 cm,75 kg,21,VIC,Williamstown,carltonblues,Carlton
12, Hugh Goddard,Def-Tall-Key,45,"24 Aug, 1996",23 y 186 d,198 cm,94 kg,12,VIC,Geelong Falcons,carltonblues,Carlton
13,Liam Jones,Fwd-Tall-Key,14,"24 Feb, 1991",29 y 2 d,199 cm,97 kg,125,VIC,Scotch College,carltonblues,Carlton
14,Brodie Kemp,Util-Tall,17,"1 May, 2001",18 y 301 d,192 cm,82 kg,,VIC,Bendigo Pioneers,carltonblues,Carlton
15,Matthew Kennedy,Mid-Med,7,"6 Apr, 1997",22 y 326 d,190 cm,88 kg,41,NSW,Collingullie,carltonblues,Carlton
16,Matthew Kreuzer,Util-Tall,8,"13 May, 1989",30 y 289 d,200 cm,101 kg,188,VIC,Northern Knights,carltonblues,Carlton
17,Darcy Lang,Fwd-Med-Gen,16,"21 Nov, 1995",24 y 97 d,183 cm,83 kg,63,VIC,Geelong Falcons,carltonblues,Carlton
18,Harrison Macreadie,Def-Tall-Key,26,"11 Apr, 1998",21 y 321 d,198 cm,92 kg,9,NSW,Henty,carltonblues,Carlton
19,Caleb Marchbank,Def-Tall-Key,22,"7 Dec, 1996",23 y 81 d,193 cm,93 kg,48,VIC,Murray Bushrangers,carltonblues,Carlton
20,Jack Martin,Def-Med-Gen,21,"29 Jan, 1995",25 y 28 d,186 cm,83 kg,97,WA,Claremont,carltonblues,Carlton
21,Mitch McGovern,Fwd-Tall-Key,11,"11 Oct, 1994",25 y 138 d,191 cm,93 kg,64,WA,Claremont,carltonblues,Carlton
22,Harry McKay,Fwd-Tall-Key,10,"24 Dec, 1997",22 y 64 d,204 cm,99 kg,35,VIC,Gippsland Power,carltonblues,Carlton
23,Marc Murphy,Mid-Med,3,"19 Jul, 1987",32 y 222 d,180 cm,80 kg,268,VIC,Oakleigh Chargers,carltonblues,Carlton
24,Nic Newman,Def-Med-Gen,24,"15 Jan, 1993",27 y 42 d,187 cm,83 kg,51,VIC,Frankston,carltonblues,Carlton
25,Jack Newnes,Mid-Med,32,"24 Feb, 1993",27 y 2 d,186 cm,82 kg,155,VIC,Northern Knights,carltonblues,Carlton
26,Lochie O'Brien,Def-Med-Gen,4,"18 Sep, 1999",20 y 161 d,185 cm,78 kg,35,VIC,Bendigo Pioneers,carltonblues,Carlton
27,Finbar O'Dwyer,Fwd-Tall-Gen,38,"24 Jul, 2000",19 y 217 d,192 cm,76 kg,,VIC,Yarrawonga,carltonblues,Carlton
28, Matthew Owies,Fwd-Med-Gen,44,"19 Mar, 1997",22 y 344 d,179 cm,84 kg,,VIC,Seattle University,carltonblues,Carlton
29,Sam Petrevski-Seton,Mid-Med,5,"19 Feb, 1998",22 y 7 d,182 cm,78 kg,64,WA,Claremont,carltonblues,Carlton
30,Sam Philp,Mid-Med,34,"4 Aug, 2001",18 y 206 d,185 cm,80 kg,,VIC,Northern Knights,carltonblues,Carlton
31,Marc Pittonet,Ruck-Tall,27,"3 Jun, 1996",23 y 268 d,202 cm,105 kg,7,VIC,Oakleigh Chargers,carltonblues,Carlton
32,Lachlan Plowman,Def-Tall-Key,20,"11 Sep, 1994",25 y 168 d,193 cm,90 kg,94,VIC,Calder Cannons,carltonblues,Carlton
33,Cameron Polson,Fwd-Smal-Gen,29,"11 Mar, 1998",21 y 352 d,177 cm,81 kg,16,VIC,Sandringham Dragons,carltonblues,Carlton
34,Sam Ramsay,Mid-Med,33,"21 Mar, 2001",18 y 342 d,180 cm,68 kg,,VIC,Calder Cannons,carltonblues,Carlton
35,Will Setterfield,Mid-Tall,43,"5 Feb, 1998",22 y 21 d,192 cm,87 kg,20,VIC,Sandringham Dragons,carltonblues,Carlton
36,Ben Silvagni,Def-Tall-Key,37,"7 May, 2000",19 y 295 d,196 cm,87 kg,,VIC,Oakleigh Chargers,carltonblues,Carlton
37,Jack Silvagni,Fwd-Tall-Gen,1,"17 Dec, 1997",22 y 71 d,194 cm,89 kg,60,VIC,Oakleigh Chargers,carltonblues,Carlton
38,Kade Simpson,Mid-Med,6,"5 May, 1984",35 y 297 d,183 cm,75 kg,325,VIC,Eastern Ranges,carltonblues,Carlton
39,Liam Stocker,Mid-Med,13,"23 Jan, 2000",20 y 34 d,184 cm,83 kg,5,VIC,Sandringham Dragons,carltonblues,Carlton
40,Sam Walsh,Mid-Med,18,"2 Jul, 2000",19 y 239 d,184 cm,80 kg,22,VIC,Geelong Falcons,carltonblues,Carlton
41,Jacob Weitering,Def-Tall-Key,23,"23 Nov, 1997",22 y 95 d,196 cm,98 kg,76,VIC,Dandenong Stingrays,carltonblues,Carlton
42,Tom Williamson,Def-Med-Gen,31,"12 Dec, 1998",21 y 76 d,190 cm,85 kg,17,VIC,North Ballarat Rebels,carltonblues,Carlton
43, Josh Honey,Fwd-Med-Gen,36,"17 Oct, 2001",18 y 132 d,184 cm,79 kg,,VIC,Western Jets,carltonblues,Carlton
44, Fraser Phillips,Fwd-Med-Gen,39,"15 May, 2001",18 y 287 d,186 cm,71 kg,,VIC,Gippsland Power,carltonblues,Carlton
0,Taylor Adams,Mid-Med,13,"20 Sep, 1993",26 y 159 d,181 cm,83 kg,130,VIC,Geelong Falcons,collingwoodmagpies,Collingwood
1, Flynn Appleby,Def-Med-Gen,31,"21 Jan, 1999",21 y 36 d,187 cm,86 kg,10,VIC,GWV Rebels,collingwoodmagpies,Collingwood
2,Dayne Beams,Mid-Med,11,"12 Feb, 1990",30 y 14 d,187 cm,88 kg,176,QLD,Southport,collingwoodmagpies,Collingwood
3,Trent Bianco,Util-Med,34,"20 Jan, 2001",19 y 37 d,178 cm,70 kg,,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
4,Atu Bosenvulagi,Mid-Med,40,"17 Sep, 2000",19 y 162 d,180 cm,82 kg,,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
5, Tim Broomhead,Fwd-Med-Gen,29,"22 Mar, 1994",25 y 341 d,182 cm,84 kg,36,SA,Port Adelaide,collingwoodmagpies,Collingwood
6,Callum Brown,Mid-Smal,17,"27 Apr, 1998",21 y 305 d,178 cm,77 kg,33,VIC,Eastern Ranges,collingwoodmagpies,Collingwood
7,Tyler Brown,Mid-Med,6,"9 Dec, 1999",20 y 79 d,188 cm,77 kg,,VIC,Eastern Ranges,collingwoodmagpies,Collingwood
8,Darcy Cameron,Util-Tall,14,"18 Jul, 1995",24 y 223 d,205 cm,103 kg,1,WA,Claremont,collingwoodmagpies,Collingwood
9,Mason Cox,Fwd-Tall-Key,46,"14 Mar, 1991",28 y 349 d,211 cm,105 kg,58,N/A,Oklahoma State,collingwoodmagpies,Collingwood
10,Jack Crisp,Mid-Tall,25,"2 Oct, 1993",26 y 147 d,190 cm,90 kg,132,VIC,Murray Bushrangers,collingwoodmagpies,Collingwood
11,Josh Daicos,Fwd-Smal-Gen,26,"26 Nov, 1998",21 y 92 d,178 cm,76 kg,17,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
12,Jordan De Goey,Fwd-Med-Gen,2,"15 Mar, 1996",23 y 348 d,188 cm,92 kg,87,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
13,Jamie Elliott,Fwd-Smal-Gen,5,"21 Aug, 1992",27 y 189 d,178 cm,81 kg,103,VIC,Murray Bushrangers,collingwoodmagpies,Collingwood
14,Levi Greenwood,Util-Med,19,"19 Feb, 1989",31 y 7 d,181 cm,87 kg,151,SA,Port Adelaide Magpies,collingwoodmagpies,Collingwood
15,Brodie Grundy,Ruck-Tall,4,"15 Apr, 1994",25 y 317 d,203 cm,100 kg,130,SA,Sturt,collingwoodmagpies,Collingwood
16,Will Hoskin-Elliott,Fwd-Tall-Gen,32,"2 Sep, 1993",26 y 177 d,186 cm,82 kg,117,VIC,Western Jets,collingwoodmagpies,Collingwood
17,Jeremy Howe,Def-Tall-Key,38,"29 Jun, 1990",29 y 242 d,190 cm,86 kg,181,TAS,Hobart,collingwoodmagpies,Collingwood
18,Will Kelly,Def-Tall-Key,27,"16 Aug, 2000",19 y 194 d,194 cm,84 kg,,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
19,Tom Langdon,Def-Med-Gen,8,"9 Jun, 1994",25 y 262 d,190 cm,85 kg,89,VIC,Sandringham Dragons,collingwoodmagpies,Collingwood
20,Brayden Maynard,Def-Med-Gen,37,"20 Sep, 1996",23 y 159 d,189 cm,90 kg,95,VIC,Sandringham Dragons,collingwoodmagpies,Collingwood
21,Chris Mayne,Fwd-Med-Gen,16,"2 Nov, 1988",31 y 116 d,188 cm,84 kg,214,WA,Perth,collingwoodmagpies,Collingwood
22,Brody Mihocek,Def-Tall-Key,41,"4 Feb, 1993",27 y 22 d,192 cm,97 kg,38,TAS,Burnie,collingwoodmagpies,Collingwood
23,Darcy Moore,Fwd-Tall-Key,30,"25 Jan, 1996",24 y 32 d,203 cm,100 kg,69,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
24,Nathan Murphy,Util-Med,28,"15 Dec, 1999",20 y 73 d,190 cm,85 kg,2,VIC,Sandringham Dragons,collingwoodmagpies,Collingwood
25, John Noble,Def-Med-Gen,9,"25 Mar, 1997",22 y 338 d,180 cm,72 kg,3,,,collingwoodmagpies,Collingwood
26,Scott Pendlebury,Mid-Tall,10,"7 Jan, 1988",32 y 50 d,191 cm,90 kg,298,VIC,Gippsland Power,collingwoodmagpies,Collingwood
27,Tom Phillips,Mid-Med,21,"7 May, 1996",23 y 295 d,187 cm,79 kg,72,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
28,Isaac Quaynor,Def-Smal-Gen,3,"15 Jan, 2000",20 y 42 d,180 cm,83 kg,4,VIC,Oakleigh Chargers,collingwoodmagpies,Collingwood
29,Jay Rantall,Mid-Med,35,"10 Jun, 2001",18 y 261 d,184 cm,82 kg,,VIC,GWV Rebels,collingwoodmagpies,Collingwood
30,Ben Reid,Def-Tall-Key,20,"29 Apr, 1989",30 y 303 d,196 cm,98 kg,148,VIC,Murray,collingwoodmagpies,Collingwood
31,Jordan Roughead,Def-Tall-Key,23,"3 Nov, 1990",29 y 115 d,200 cm,101 kg,159,VIC,North Ballarat Rebels,collingwoodmagpies,Collingwood
32,Trey Ruscoe,Def-Tall-Key,39,"3 Nov, 2001",18 y 115 d,190 cm,90 kg,,WA,East Fremantle,collingwoodmagpies,Collingwood
33,Matthew Scharenberg,Def-Tall-Gen,12,"18 Sep, 1995",24 y 161 d,191 cm,93 kg,38,SA,Glenelg,collingwoodmagpies,Collingwood
34,Steele Sidebottom,Mid-Med,22,"2 Jan, 1991",29 y 55 d,184 cm,85 kg,231,VIC,Murray Bushrangers,collingwoodmagpies,Collingwood
35,Brayden Sier,Mid-Tall,36,"12 Dec, 1997",22 y 76 d,191 cm,88 kg,18,VIC,Northern Knights,collingwoodmagpies,Collingwood
36,Jaidyn Stephenson,Mid-Med,1,"15 Jan, 1999",21 y 42 d,188 cm,78 kg,38,VIC,Eastern Ranges,collingwoodmagpies,Collingwood
37,Josh Thomas,Mid-Smal,24,"1 Oct, 1991",28 y 148 d,178 cm,78 kg,87,QLD,Gold Coast,collingwoodmagpies,Collingwood
38,Adam Treloar,Mid-Med,7,"9 Mar, 1993",26 y 354 d,182 cm,89 kg,161,VIC,Noble Park,collingwoodmagpies,Collingwood
39,Travis Varcoe,Fwd-Med-Gen,18,"10 Apr, 1988",31 y 322 d,180 cm,84 kg,220,SA,Central District,collingwoodmagpies,Collingwood
40,Rupert Wills,Mid-Tall,33,"20 May, 1993",26 y 282 d,192 cm,88 kg,13,VIC,Collingwood VFL,collingwoodmagpies,Collingwood
41, Mark Keane,Fwd-Tall-Key,47,"17 Mar, 2000",19 y 346 d,194 cm,92 kg,,N/A,County Cork,collingwoodmagpies,Collingwood
42, Max Lynch,Ruck-Tall,45,"12 Sep, 1998",21 y 167 d,200 cm,99 kg,,VIC,Murray Bushrangers,collingwoodmagpies,Collingwood
43, Jack Madgen,Def-Tall-Key,44,"25 Apr, 1993",26 y 307 d,192 cm,98 kg,8,SA,Barossa District,collingwoodmagpies,Collingwood
44, Anton Tohill,Util-Tall,43,"14 Dec, 1999",20 y 74 d,191 cm,85 kg,,N/A,County Derry,collingwoodmagpies,Collingwood
