id,league_id,user_team_id,round,pick,player_id,position,autopicked,time
1706019,1283,719,11,82,159,MID,0,8/03/2024 13:30
1706028,1283,718,11,83,645,DEF,0,8/03/2024 13:30
1706033,1283,717,11,84,463,DEF,0,8/03/2024 13:30
1706034,1283,713,11,85,194,DEF,0,8/03/2024 13:30
1706037,1283,716,11,86,106,MID,0,8/03/2024 13:30
1706038,1283,715,11,87,643,DEF,0,8/03/2024 13:30
1706040,1283,720,11,88,779,DEF,0,8/03/2024 13:30
1706041,1283,714,12,89,68,RUC,0,8/03/2024 13:31
1706043,1283,719,12,90,51,DEF,0,8/03/2024 13:31
1706044,1283,718,12,91,160,DEF,0,8/03/2024 13:31
1706049,1283,717,12,92,390,MID,0,8/03/2024 13:31
1706055,1283,713,12,93,562,FWD,0,8/03/2024 13:31
1706056,1283,716,12,94,450,DEF,0,8/03/2024 13:31
1706059,1283,715,12,95,304,RUC,0,8/03/2024 13:31
1706060,1283,720,12,96,173,FWD,0,8/03/2024 13:31
1706061,1283,714,13,97,30,FWD,0,8/03/2024 13:32
1706063,1283,719,13,98,228,FWD,0,8/03/2024 13:32
1706064,1283,718,13,99,124,DEF,0,8/03/2024 13:32
1706065,1283,717,13,100,325,MID,0,8/03/2024 13:32
1706066,1283,713,13,101,686,MID,0,8/03/2024 13:32
1706079,1283,716,13,102,648,MID,0,8/03/2024 13:32
1706080,1283,715,13,103,86,FWD,0,8/03/2024 13:32
1706082,1283,720,13,104,581,MID,0,8/03/2024 13:33
1706083,1283,714,14,105,488,FWD,0,8/03/2024 13:33
1706084,1283,719,14,106,367,DEF,0,8/03/2024 13:33
1706085,1283,718,14,107,202,DEF,0,8/03/2024 13:33
1706087,1283,717,14,108,47,FWD,0,8/03/2024 13:33
1706095,1283,713,14,109,180,RUC,0,8/03/2024 13:33
1706098,1283,716,14,110,315,DEF,0,8/03/2024 13:34
1706099,1283,715,14,111,200,DEF,0,8/03/2024 13:34
1706101,1283,720,14,112,16,DEF,0,8/03/2024 13:34
1706102,1283,714,15,113,603,DEF,0,8/03/2024 13:34
1706103,1283,719,15,114,218,DEF,0,8/03/2024 13:34
1706104,1283,718,15,115,633,FWD,0,8/03/2024 13:34
1706113,1283,717,15,116,749,DEF,0,8/03/2024 13:34
1706117,1283,713,15,117,151,FWD,0,8/03/2024 13:35
1706119,1283,716,15,118,432,MID,0,8/03/2024 13:35
1706120,1283,715,15,119,136,MID,0,8/03/2024 13:35
1706123,1283,720,15,120,302,MID,0,8/03/2024 13:35
1706124,1283,714,16,121,778,DEF,0,8/03/2024 13:35
1706125,1283,719,16,122,462,DEF,0,8/03/2024 13:35
1706129,1283,718,16,123,536,MID,0,8/03/2024 13:36
1706136,1283,717,16,124,41,FWD,0,8/03/2024 13:36
1706138,1283,713,16,125,44,DEF,0,8/03/2024 13:36
1706139,1283,716,16,126,163,MID,0,8/03/2024 13:36
1706140,1283,715,16,127,409,FWD,0,8/03/2024 13:36
1706153,1283,720,16,128,725,DEF,0,8/03/2024 13:37
1706156,1283,714,17,129,220,DEF,0,8/03/2024 13:37
1706164,1283,719,17,130,711,FWD,0,8/03/2024 13:37
1706165,1283,718,17,131,384,DEF,0,8/03/2024 13:37
1706166,1283,717,17,132,410,FWD,0,8/03/2024 13:38
1706168,1283,713,17,133,312,MID,0,8/03/2024 13:38
1706169,1283,716,17,134,331,FWD,0,8/03/2024 13:38
1706170,1283,715,17,135,770,FWD,0,8/03/2024 13:38
1706171,1283,720,17,136,594,DEF,0,8/03/2024 13:38
1706174,1283,714,18,137,635,FWD,0,8/03/2024 13:38
1706182,1283,719,18,138,555,RUC,0,8/03/2024 13:38
1706186,1283,718,18,139,190,FWD,0,8/03/2024 13:38
1706187,1283,717,18,140,677,FWD,0,8/03/2024 13:39
1706188,1283,713,18,141,164,DEF,0,8/03/2024 13:39
1706189,1283,716,18,142,100,RUC,0,8/03/2024 13:39
1706190,1283,715,18,143,397,MID,0,8/03/2024 13:39
1706197,1283,720,18,144,181,FWD,0,8/03/2024 13:40
1706201,1283,714,19,145,773,MID,0,8/03/2024 13:40
1706202,1283,719,19,146,682,MID,0,8/03/2024 13:40
1706203,1283,718,19,147,534,FWD,0,8/03/2024 13:40
1706204,1283,717,19,148,525,DEF,0,8/03/2024 13:40
1706205,1283,713,19,149,75,FWD,0,8/03/2024 13:40
1706206,1283,716,19,150,19,FWD,0,8/03/2024 13:40
1706207,1283,715,19,151,726,MID,0,8/03/2024 13:40
1706208,1283,720,19,152,354,MID,0,8/03/2024 13:40
1706211,1283,714,20,153,177,RUC,0,8/03/2024 13:40
1706215,1283,719,20,154,507,FWD,0,8/03/2024 13:41
1706222,1283,718,20,155,357,FWD,0,8/03/2024 13:41
1706225,1283,717,20,156,23,DEF,0,8/03/2024 13:41
1706226,1283,713,20,157,461,FWD,0,8/03/2024 13:41
1706227,1283,716,20,158,369,DEF,0,8/03/2024 13:41
1706229,1283,715,20,159,451,DEF,0,8/03/2024 13:41
1706230,1283,720,20,160,423,DEF,0,8/03/2024 13:41
1706231,1283,714,21,161,52,FWD,0,8/03/2024 13:42
1706232,1283,719,21,162,434,FWD,0,8/03/2024 13:42
1706239,1283,718,21,163,128,DEF,0,8/03/2024 13:42
1706243,1283,717,21,164,607,MID,0,8/03/2024 13:42
1706244,1283,713,21,165,533,DEF,0,8/03/2024 13:42
1706245,1283,716,21,166,204,MID,0,8/03/2024 13:42
1706246,1283,715,21,167,517,MID,0,8/03/2024 13:42
1706247,1283,720,21,168,511,MID,0,8/03/2024 13:42
1706248,1283,714,22,169,368,FWD,0,8/03/2024 13:43
1706250,1283,719,22,170,348,DEF,0,8/03/2024 13:43
1706257,1283,718,22,171,530,FWD,0,8/03/2024 13:43
1706284,1283,717,22,172,457,FWD,0,8/03/2024 13:43
1706291,1283,713,22,173,87,MID,0,8/03/2024 13:43
1706292,1283,716,22,174,154,DEF,0,8/03/2024 13:43
1706294,1283,715,22,175,256,FWD,0,8/03/2024 13:43
1706295,1283,720,22,176,417,MID,0,8/03/2024 13:44
1706296,1283,714,23,177,277,FWD,0,8/03/2024 13:44
1706302,1283,719,23,178,115,FWD,0,8/03/2024 13:44
1706309,1283,718,23,179,123,RUC,0,8/03/2024 13:44
1706317,1283,717,23,180,503,MID,0,8/03/2024 13:44
1706330,1283,713,23,181,263,DEF,0,8/03/2024 13:44
1706337,1283,716,23,182,386,MID,0,8/03/2024 13:44
1706340,1283,715,23,183,721,FWD,0,8/03/2024 13:45
1736462,1283,720,23,184,167,FWD,0,9/03/2024 13:08
