,Name,Type,#,DOB,Age,Height,Weight,Gm,SOO,Recruited from,team,short_team
39, Ben Crocker,Fwd-Med-Gen,20,"19 Feb, 1997",23 y 7 d,188 cm,84 kg,26,VIC,Oakleigh Chargers,adelaidecrows,ADE
40, Ben Keays,Fwd-Med-Gen,28,"23 Feb, 1997",23 y 3 d,185 cm,89 kg,30,QLD,Redlands,adelaidecrows,ADE
41, Kieran Strachan,Ruck-Tall,45,"5 Oct, 1995",24 y 144 d,204 cm,95 kg,,VIC,Port Melbourne,adelaidecrows,ADE
42, Patrick Wilson,Util-Med,31,"11 Dec, 1994",25 y 77 d,188 cm,89 kg,2,SA,Sturt,adelaidecrows,ADE
0,Marcus Adams,Def-Tall-Key,24,"30 Jun, 1993",26 y 241 d,192 cm,93 kg,35,WA,West Perth ,brisbanelions,BRI
1,Callum Ah Chee,Fwd-Med-Gen,4,"9 Oct, 1997",22 y 140 d,182 cm,78 kg,45,WA,South Fremantle,brisbanelions,BRI
2,Harris Andrews,Def-Tall-Key,31,"11 Dec, 1996",23 y 77 d,201 cm,100 kg,95,QLD,Aspley,brisbanelions,BRI
3,Noah Answerth,Def-Med-Gen,43,"6 Aug, 1999",20 y 204 d,182 cm,82 kg,17,VIC,Oakleigh Chargers,brisbanelions,BRI
4,Zac Bailey,Mid-Med,33,"23 Sep, 1999",20 y 156 d,182 cm,83 kg,25,NT,Southern Districts,brisbanelions,BRI
5,Connor Ballenden,Def-Tall-Key,38,"29 Mar, 1999",20 y 334 d,200 cm,101 kg,,QLD,Wests Juniors,brisbanelions,BRI
6,Jarrod Berry,Util-Tall,7,"5 Feb, 1998",22 y 21 d,193 cm,89 kg,55,VIC,North Ballarat Rebels,brisbanelions,BRI
7,Tom Berry,Fwd-Med-Gen,13,"1 May, 2000",19 y 301 d,185 cm,76 kg,,VIC,GWV Rebels,brisbanelions,BRI
8,Grant Birchall,Def-Tall-Gen,14,"28 Jan, 1988",32 y 29 d,193 cm,89 kg,247,TAS,Devonport,brisbanelions,BRI
9,Charlie Cameron,Fwd-Smal-Gen,23,"5 Jul, 1994",25 y 236 d,181 cm,74 kg,106,WA,Swan Districts,brisbanelions,BRI
10,Allen Christensen,Fwd-Smal-Gen,3,"19 May, 1991",28 y 283 d,176 cm,79 kg,130,VIC,Geelong Falcons,brisbanelions,BRI
11,Keidean Coleman,Fwd-Med-Gen,18,"31 Mar, 2000",19 y 332 d,182 cm,75 kg,,QLD,Brisbane,brisbanelions,BRI
12,Cedric Cox,Def-Med-Gen,20,"19 Aug, 1997",22 y 191 d,183 cm,82 kg,13,VIC,North Ballarat Rebels,brisbanelions,BRI
13,Cam Ellis-Yolmen,Mid-Med,28,"28 Jan, 1993",27 y 29 d,190 cm,96 kg,39,SA,Woodville-West Torrens,brisbanelions,BRI
14,Darcy Gardiner,Def-Tall-Key,27,"22 Sep, 1995",24 y 157 d,193 cm,92 kg,104,VIC,Geelong Falcons,brisbanelions,BRI
15,Mitchell Hinge,Mid-Med,22,"26 Jun, 1998",21 y 245 d,190 cm,84 kg,2,SA,Glenelg,brisbanelions,BRI
16,Eric Hipwood,Fwd-Tall-Key,30,"13 Sep, 1997",22 y 166 d,204 cm,90 kg,73,QLD,Aspley,brisbanelions,BRI
17,Tom Joyce,Mid-Med,32,"7 Mar, 2000",19 y 356 d,180 cm,86 kg,,WA,East Fremantle,brisbanelions,BRI
18,Ryan Lester,Util-Tall,35,"26 Aug, 1992",27 y 184 d,192 cm,85 kg,126,VIC,Oakleigh Chargers,brisbanelions,BRI
19,Jarryd Lyons,Mid-Med,17,"22 Jul, 1992",27 y 219 d,184 cm,84 kg,114,VIC,Sandringham Dragons,brisbanelions,BRI
20,Stefan Martin,Ruck-Tall,12,"17 Nov, 1986",33 y 101 d,199 cm,104 kg,180,VIC,Sandringham,brisbanelions,BRI
21,Rhys Mathieson,Mid-Med,36,"10 Jan, 1997",23 y 47 d,188 cm,87 kg,46,VIC,Geelong Falcons,brisbanelions,BRI
22,Lincoln McCarthy,Fwd-Smal-Gen,11,"22 Oct, 1993",26 y 127 d,176 cm,84 kg,50,SA,Glenelg,brisbanelions,BRI
23,Hugh McCluggage,Mid-Med,6,"3 Mar, 1998",21 y 360 d,187 cm,85 kg,61,VIC,North Ballarat Rebels,brisbanelions,BRI
24,Connor McFadyen,Fwd-Tall-Gen,26,"4 Dec, 2000",19 y 84 d,190 cm,81 kg,,QLD,Brisbane Academy,brisbanelions,BRI
25,Oscar McInerney,Ruck-Tall,46,"10 Jul, 1994",25 y 231 d,205 cm,107 kg,35,VIC,Casey Scorpions,brisbanelions,BRI
26,Daniel McStay,Util-Tall,25,"24 Jun, 1995",24 y 247 d,195 cm,100 kg,101,VIC,Eastern Ranges,brisbanelions,BRI
27,Lachie Neale,Mid-Smal,9,"24 May, 1993",26 y 278 d,177 cm,85 kg,156,SA,Glenelg,brisbanelions,BRI
28,Jack Payne,Def-Tall-Key,40,"15 Oct, 1999",20 y 134 d,197 cm,101 kg,,QLD,Noosa,brisbanelions,BRI
29,Jaxon Prior,Def-Med-Gen,45,"4 Jun, 2001",18 y 267 d,188 cm,79 kg,,WA,West Perth,brisbanelions,BRI
30,Cameron Rayner,Mid-Med,16,"21 Oct, 1999",20 y 128 d,187 cm,90 kg,44,VIC,Western Jets,brisbanelions,BRI
31,Daniel Rich,Def-Med-Gen,10,"7 Jun, 1990",29 y 264 d,183 cm,87 kg,205,WA,Subiaco,brisbanelions,BRI
32,Deven Robertson,Mid-Med,2,"30 Jun, 2001",18 y 241 d,182 cm,80 kg,,WA,Perth,brisbanelions,BRI
33,Mitch Robinson,Mid-Med,5,"7 Jun, 1989",30 y 264 d,184 cm,90 kg,190,TAS,Lauderdale,brisbanelions,BRI
34,Brock Smith,Def-Med-Gen,1,"13 Mar, 2001",18 y 350 d,188 cm,81 kg,,VIC,Gippsland Power,brisbanelions,BRI
35,Ely Smith,Mid-Med,8,"13 Sep, 2000",19 y 166 d,187 cm,86 kg,,VIC,Murray Bushrangers,brisbanelions,BRI
36,Brandon Starcevich,Mid-Med,37,"24 Jul, 1999",20 y 217 d,188 cm,88 kg,5,WA,East Perth,brisbanelions,BRI
37,Alex Witherden,Def-Med-Gen,29,"10 Sep, 1998",21 y 169 d,188 cm,85 kg,51,VIC,Geelong Falcons,brisbanelions,BRI
38,Toby Wooller,Fwd-Tall-Key,34,"16 Mar, 1999",20 y 347 d,195 cm,88 kg,,VIC,Oakleigh Chargers,brisbanelions,BRI
39,Dayne Zorko,Mid-Smal,15,"9 Feb, 1989",31 y 17 d,175 cm,78 kg,166,QLD,Broadbeach,brisbanelions,BRI
40, Jacob Allison,Util-Tall,19,"16 Apr, 1998",21 y 316 d,195 cm,87 kg,10,QLD,Brisbane Academy,brisbanelions,BRI
41, Tom Fullarton,Ruck-Tall,47,"23 Feb, 1999",21 y 3 d,199 cm,92 kg,,QLD,Brisbane Bullets,brisbanelions,BRI
42, Corey Lyons,Mid-Med,39,"31 May, 1998",21 y 271 d,184 cm,83 kg,,VIC,Sandringham Dragons,brisbanelions,BRI
43, James Madden,Mid-Med,42,"15 Nov, 1999",20 y 103 d,186 cm,85 kg,,N/A,Dublin,brisbanelions,BRI
44, Sam Skinner,Util-Tall,21,"29 Jun, 1997",22 y 242 d,198 cm,100 kg,1,VIC,Gippsland Power,brisbanelions,BRI
45, Archie Smith,Ruck-Tall,44,"19 Jul, 1995",24 y 222 d,203 cm,104 kg,11,QLD,Mt Gravatt,brisbanelions,BRI
0,Eddie Betts,Fwd-Smal-Gen,19,"26 Nov, 1986",33 y 92 d,174 cm,74 kg,316,VIC,Calder Cannons,carltonblues,CAR
1,Levi Casboult,Fwd-Tall-Key,41,"15 Mar, 1990",29 y 348 d,201 cm,101 kg,124,VIC,Dandenong Stingrays,carltonblues,CAR
2,Matthew Cottrell,Mid-Med,46,"29 Feb, 2000",19 y 362 d,181 cm,72 kg,,VIC,Dandenong Stingrays,carltonblues,CAR
3,Patrick Cripps,Mid-Med,9,"18 Mar, 1995",24 y 345 d,195 cm,92 kg,101,WA,East Fremantle,carltonblues,CAR
4,David Cuningham,Mid-Med,28,"30 Mar, 1997",22 y 333 d,185 cm,85 kg,25,VIC,Oakleigh Chargers,carltonblues,CAR
5,Charlie Curnow,Fwd-Tall-Key,30,"3 Feb, 1997",23 y 23 d,192 cm,96 kg,58,VIC,Geelong Falcons,carltonblues,CAR
6,Ed Curnow,Mid-Med,35,"7 Nov, 1989",30 y 111 d,180 cm,85 kg,165,VIC,Geelong Falcons,carltonblues,CAR
7,Tom De Koning,Util-Tall,12,"16 Jul, 1999",20 y 225 d,203 cm,97 kg,2,VIC,Dandenong Stingrays,carltonblues,CAR
8,Sam Docherty,Def-Med-Gen,15,"17 Oct, 1993",26 y 132 d,187 cm,87 kg,92,VIC,Gippsland Power,carltonblues,CAR
9,Paddy Dow,Mid-Med,2,"16 Oct, 1999",20 y 133 d,187 cm,83 kg,39,VIC,Bendigo Pioneers,carltonblues,CAR
10,Zac Fisher,Mid-Smal,25,"15 Jun, 1998",21 y 256 d,177 cm,75 kg,55,WA,Perth,carltonblues,CAR
11,Michael Gibbons,Mid-Smal,40,"15 May, 1995",24 y 287 d,175 cm,75 kg,21,VIC,Williamstown,carltonblues,CAR
12, Hugh Goddard,Def-Tall-Key,45,"24 Aug, 1996",23 y 186 d,198 cm,94 kg,12,VIC,Geelong Falcons,carltonblues,CAR
13,Liam Jones,Fwd-Tall-Key,14,"24 Feb, 1991",29 y 2 d,199 cm,97 kg,125,VIC,Scotch College,carltonblues,CAR
14,Brodie Kemp,Util-Tall,17,"1 May, 2001",18 y 301 d,192 cm,82 kg,,VIC,Bendigo Pioneers,carltonblues,CAR
15,Matthew Kennedy,Mid-Med,7,"6 Apr, 1997",22 y 326 d,190 cm,88 kg,41,NSW,Collingullie,carltonblues,CAR
16,Matthew Kreuzer,Util-Tall,8,"13 May, 1989",30 y 289 d,200 cm,101 kg,188,VIC,Northern Knights,carltonblues,CAR
17,Darcy Lang,Fwd-Med-Gen,16,"21 Nov, 1995",24 y 97 d,183 cm,83 kg,63,VIC,Geelong Falcons,carltonblues,CAR
18,Harrison Macreadie,Def-Tall-Key,26,"11 Apr, 1998",21 y 321 d,198 cm,92 kg,9,NSW,Henty,carltonblues,CAR
19,Caleb Marchbank,Def-Tall-Key,22,"7 Dec, 1996",23 y 81 d,193 cm,93 kg,48,VIC,Murray Bushrangers,carltonblues,CAR
20,Jack Martin,Def-Med-Gen,21,"29 Jan, 1995",25 y 28 d,186 cm,83 kg,97,WA,Claremont,carltonblues,CAR
21,Mitch McGovern,Fwd-Tall-Key,11,"11 Oct, 1994",25 y 138 d,191 cm,93 kg,64,WA,Claremont,carltonblues,CAR
22,Harry McKay,Fwd-Tall-Key,10,"24 Dec, 1997",22 y 64 d,204 cm,99 kg,35,VIC,Gippsland Power,carltonblues,CAR
23,Marc Murphy,Mid-Med,3,"19 Jul, 1987",32 y 222 d,180 cm,80 kg,268,VIC,Oakleigh Chargers,carltonblues,CAR
24,Nic Newman,Def-Med-Gen,24,"15 Jan, 1993",27 y 42 d,187 cm,83 kg,51,VIC,Frankston,carltonblues,CAR
25,Jack Newnes,Mid-Med,32,"24 Feb, 1993",27 y 2 d,186 cm,82 kg,155,VIC,Northern Knights,carltonblues,CAR
26,Lochie O'Brien,Def-Med-Gen,4,"18 Sep, 1999",20 y 161 d,185 cm,78 kg,35,VIC,Bendigo Pioneers,carltonblues,CAR
27,Finbar O'Dwyer,Fwd-Tall-Gen,38,"24 Jul, 2000",19 y 217 d,192 cm,76 kg,,VIC,Yarrawonga,carltonblues,CAR
28, Matthew Owies,Fwd-Med-Gen,44,"19 Mar, 1997",22 y 344 d,179 cm,84 kg,,VIC,Seattle University,carltonblues,CAR
29,Sam Petrevski-Seton,Mid-Med,5,"19 Feb, 1998",22 y 7 d,182 cm,78 kg,64,WA,Claremont,carltonblues,CAR
30,Sam Philp,Mid-Med,34,"4 Aug, 2001",18 y 206 d,185 cm,80 kg,,VIC,Northern Knights,carltonblues,CAR
31,Marc Pittonet,Ruck-Tall,27,"3 Jun, 1996",23 y 268 d,202 cm,105 kg,7,VIC,Oakleigh Chargers,carltonblues,CAR
32,Lachlan Plowman,Def-Tall-Key,20,"11 Sep, 1994",25 y 168 d,193 cm,90 kg,94,VIC,Calder Cannons,carltonblues,CAR
33,Cameron Polson,Fwd-Smal-Gen,29,"11 Mar, 1998",21 y 352 d,177 cm,81 kg,16,VIC,Sandringham Dragons,carltonblues,CAR
34,Sam Ramsay,Mid-Med,33,"21 Mar, 2001",18 y 342 d,180 cm,68 kg,,VIC,Calder Cannons,carltonblues,CAR
35,Will Setterfield,Mid-Tall,43,"5 Feb, 1998",22 y 21 d,192 cm,87 kg,20,VIC,Sandringham Dragons,carltonblues,CAR
36,Ben Silvagni,Def-Tall-Key,37,"7 May, 2000",19 y 295 d,196 cm,87 kg,,VIC,Oakleigh Chargers,carltonblues,CAR
37,Jack Silvagni,Fwd-Tall-Gen,1,"17 Dec, 1997",22 y 71 d,194 cm,89 kg,60,VIC,Oakleigh Chargers,carltonblues,CAR
38,Kade Simpson,Mid-Med,6,"5 May, 1984",35 y 297 d,183 cm,75 kg,325,VIC,Eastern Ranges,carltonblues,CAR
39,Liam Stocker,Mid-Med,13,"23 Jan, 2000",20 y 34 d,184 cm,83 kg,5,VIC,Sandringham Dragons,carltonblues,CAR
40,Sam Walsh,Mid-Med,18,"2 Jul, 2000",19 y 239 d,184 cm,80 kg,22,VIC,Geelong Falcons,carltonblues,CAR
41,Jacob Weitering,Def-Tall-Key,23,"23 Nov, 1997",22 y 95 d,196 cm,98 kg,76,VIC,Dandenong Stingrays,carltonblues,CAR
42,Tom Williamson,Def-Med-Gen,31,"12 Dec, 1998",21 y 76 d,190 cm,85 kg,17,VIC,North Ballarat Rebels,carltonblues,CAR
43, Josh Honey,Fwd-Med-Gen,36,"17 Oct, 2001",18 y 132 d,184 cm,79 kg,,VIC,Western Jets,carltonblues,CAR
44, Fraser Phillips,Fwd-Med-Gen,39,"15 May, 2001",18 y 287 d,186 cm,71 kg,,VIC,Gippsland Power,carltonblues,CAR
0,Taylor Adams,Mid-Med,13,"20 Sep, 1993",26 y 159 d,181 cm,83 kg,130,VIC,Geelong Falcons,collingwoodmagpies,COL
1, Flynn Appleby,Def-Med-Gen,31,"21 Jan, 1999",21 y 36 d,187 cm,86 kg,10,VIC,GWV Rebels,collingwoodmagpies,COL
2,Dayne Beams,Mid-Med,11,"12 Feb, 1990",30 y 14 d,187 cm,88 kg,176,QLD,Southport,collingwoodmagpies,COL
3,Trent Bianco,Util-Med,34,"20 Jan, 2001",19 y 37 d,178 cm,70 kg,,VIC,Oakleigh Chargers,collingwoodmagpies,COL
4,Atu Bosenvulagi,Mid-Med,40,"17 Sep, 2000",19 y 162 d,180 cm,82 kg,,VIC,Oakleigh Chargers,collingwoodmagpies,COL
5, Tim Broomhead,Fwd-Med-Gen,29,"22 Mar, 1994",25 y 341 d,182 cm,84 kg,36,SA,Port Adelaide,collingwoodmagpies,COL
6,Callum Brown,Mid-Smal,17,"27 Apr, 1998",21 y 305 d,178 cm,77 kg,33,VIC,Eastern Ranges,collingwoodmagpies,COL
7,Tyler Brown,Mid-Med,6,"9 Dec, 1999",20 y 79 d,188 cm,77 kg,,VIC,Eastern Ranges,collingwoodmagpies,COL
8,Darcy Cameron,Util-Tall,14,"18 Jul, 1995",24 y 223 d,205 cm,103 kg,1,WA,Claremont,collingwoodmagpies,COL
9,Mason Cox,Fwd-Tall-Key,46,"14 Mar, 1991",28 y 349 d,211 cm,105 kg,58,N/A,Oklahoma State,collingwoodmagpies,COL
10,Jack Crisp,Mid-Tall,25,"2 Oct, 1993",26 y 147 d,190 cm,90 kg,132,VIC,Murray Bushrangers,collingwoodmagpies,COL
11,Josh Daicos,Fwd-Smal-Gen,26,"26 Nov, 1998",21 y 92 d,178 cm,76 kg,17,VIC,Oakleigh Chargers,collingwoodmagpies,COL
12,Jordan De Goey,Fwd-Med-Gen,2,"15 Mar, 1996",23 y 348 d,188 cm,92 kg,87,VIC,Oakleigh Chargers,collingwoodmagpies,COL
13,Jamie Elliott,Fwd-Smal-Gen,5,"21 Aug, 1992",27 y 189 d,178 cm,81 kg,103,VIC,Murray Bushrangers,collingwoodmagpies,COL
14,Levi Greenwood,Util-Med,19,"19 Feb, 1989",31 y 7 d,181 cm,87 kg,151,SA,Port Adelaide Magpies,collingwoodmagpies,COL
15,Brodie Grundy,Ruck-Tall,4,"15 Apr, 1994",25 y 317 d,203 cm,100 kg,130,SA,Sturt,collingwoodmagpies,COL
16,Will Hoskin-Elliott,Fwd-Tall-Gen,32,"2 Sep, 1993",26 y 177 d,186 cm,82 kg,117,VIC,Western Jets,collingwoodmagpies,COL
17,Jeremy Howe,Def-Tall-Key,38,"29 Jun, 1990",29 y 242 d,190 cm,86 kg,181,TAS,Hobart,collingwoodmagpies,COL
18,Will Kelly,Def-Tall-Key,27,"16 Aug, 2000",19 y 194 d,194 cm,84 kg,,VIC,Oakleigh Chargers,collingwoodmagpies,COL
19,Tom Langdon,Def-Med-Gen,8,"9 Jun, 1994",25 y 262 d,190 cm,85 kg,89,VIC,Sandringham Dragons,collingwoodmagpies,COL
20,Brayden Maynard,Def-Med-Gen,37,"20 Sep, 1996",23 y 159 d,189 cm,90 kg,95,VIC,Sandringham Dragons,collingwoodmagpies,COL
21,Chris Mayne,Fwd-Med-Gen,16,"2 Nov, 1988",31 y 116 d,188 cm,84 kg,214,WA,Perth,collingwoodmagpies,COL
22,Brody Mihocek,Def-Tall-Key,41,"4 Feb, 1993",27 y 22 d,192 cm,97 kg,38,TAS,Burnie,collingwoodmagpies,COL
23,Darcy Moore,Fwd-Tall-Key,30,"25 Jan, 1996",24 y 32 d,203 cm,100 kg,69,VIC,Oakleigh Chargers,collingwoodmagpies,COL
24,Nathan Murphy,Util-Med,28,"15 Dec, 1999",20 y 73 d,190 cm,85 kg,2,VIC,Sandringham Dragons,collingwoodmagpies,COL
25, John Noble,Def-Med-Gen,9,"25 Mar, 1997",22 y 338 d,180 cm,72 kg,3,,,collingwoodmagpies,COL
26,Scott Pendlebury,Mid-Tall,10,"7 Jan, 1988",32 y 50 d,191 cm,90 kg,298,VIC,Gippsland Power,collingwoodmagpies,COL
27,Tom Phillips,Mid-Med,21,"7 May, 1996",23 y 295 d,187 cm,79 kg,72,VIC,Oakleigh Chargers,collingwoodmagpies,COL
28,Isaac Quaynor,Def-Smal-Gen,3,"15 Jan, 2000",20 y 42 d,180 cm,83 kg,4,VIC,Oakleigh Chargers,collingwoodmagpies,COL
29,Jay Rantall,Mid-Med,35,"10 Jun, 2001",18 y 261 d,184 cm,82 kg,,VIC,GWV Rebels,collingwoodmagpies,COL
30,Ben Reid,Def-Tall-Key,20,"29 Apr, 1989",30 y 303 d,196 cm,98 kg,148,VIC,Murray,collingwoodmagpies,COL
31,Jordan Roughead,Def-Tall-Key,23,"3 Nov, 1990",29 y 115 d,200 cm,101 kg,159,VIC,North Ballarat Rebels,collingwoodmagpies,COL
32,Trey Ruscoe,Def-Tall-Key,39,"3 Nov, 2001",18 y 115 d,190 cm,90 kg,,WA,East Fremantle,collingwoodmagpies,COL
33,Matthew Scharenberg,Def-Tall-Gen,12,"18 Sep, 1995",24 y 161 d,191 cm,93 kg,38,SA,Glenelg,collingwoodmagpies,COL
34,Steele Sidebottom,Mid-Med,22,"2 Jan, 1991",29 y 55 d,184 cm,85 kg,231,VIC,Murray Bushrangers,collingwoodmagpies,COL
35,Brayden Sier,Mid-Tall,36,"12 Dec, 1997",22 y 76 d,191 cm,88 kg,18,VIC,Northern Knights,collingwoodmagpies,COL
36,Jaidyn Stephenson,Mid-Med,1,"15 Jan, 1999",21 y 42 d,188 cm,78 kg,38,VIC,Eastern Ranges,collingwoodmagpies,COL
37,Josh Thomas,Mid-Smal,24,"1 Oct, 1991",28 y 148 d,178 cm,78 kg,87,QLD,Gold Coast,collingwoodmagpies,COL
38,Adam Treloar,Mid-Med,7,"9 Mar, 1993",26 y 354 d,182 cm,89 kg,161,VIC,Noble Park,collingwoodmagpies,COL
39,Travis Varcoe,Fwd-Med-Gen,18,"10 Apr, 1988",31 y 322 d,180 cm,84 kg,220,SA,Central District,collingwoodmagpies,COL
40,Rupert Wills,Mid-Tall,33,"20 May, 1993",26 y 282 d,192 cm,88 kg,13,VIC,Collingwood VFL,collingwoodmagpies,COL
41, Mark Keane,Fwd-Tall-Key,47,"17 Mar, 2000",19 y 346 d,194 cm,92 kg,,N/A,County Cork,collingwoodmagpies,COL
42, Max Lynch,Ruck-Tall,45,"12 Sep, 1998",21 y 167 d,200 cm,99 kg,,VIC,Murray Bushrangers,collingwoodmagpies,COL
43, Jack Madgen,Def-Tall-Key,44,"25 Apr, 1993",26 y 307 d,192 cm,98 kg,8,SA,Barossa District,collingwoodmagpies,COL
44, Anton Tohill,Util-Tall,43,"14 Dec, 1999",20 y 74 d,191 cm,85 kg,,N/A,County Derry,collingwoodmagpies,COL
45, Thomas Wilson,Util-Tall,48,"24 Jun, 1997",22 y 247 d,187 cm,68 kg,,VIC,Sydney Kings,collingwoodmagpies,COL
0,Patrick Ambrose,Def-Tall-Key,29,"1 Sep, 1991",28 y 178 d,191 cm,92 kg,86,VIC,Old Xaverians,essendonbombers,ESS
1,Josh Begley,Fwd-Med-Gen,16,"3 Jul, 1998",21 y 238 d,188 cm,97 kg,16,VIC,Eastern Ranges,essendonbombers,ESS
2,Tom Bellchambers,Ruck-Tall,2,"9 Jul, 1989",30 y 232 d,202 cm,108 kg,128,TAS,Tassie Mariners,essendonbombers,ESS
